"game_id","count"
"1","3"
"2","9"
"3","3"
"4","1"
"5","5"
"6","1"
"7","2"
"8","14"
"9","15"
"10","12"
"11","7"
"12","6"
"13","5"
"14","3"
"15","6"
"16","33"
"17","21"
"18","12"
"19","17"
