"game_id","count"
"1","35"
"2","27"
"3","22"
"4","43"
"5","29"
"6","48"
"7","24"
"8","19"
"9","7"
"10","20"
"11","12"
"12","15"
"13","21"
"14","25"
"15","20"
"16","15"
"17","15"
"18","15"
"19","15"
