"game_id","count"
"1","2"
"2","4"
"4","1"
"5","1"
"7","2"
"8","6"
"9","7"
"10","6"
"11","3"
"12","2"
"13","2"
"14","2"
"15","2"
"16","21"
"17","9"
"18","4"
"19","14"
