"game_id","count"
"1","19"
"2","13"
"3","10"
"4","19"
"5","8"
"6","20"
"7","15"
"8","7"
"9","3"
"10","9"
"11","4"
"12","9"
"13","10"
"14","10"
"15","13"
"16","9"
"17","9"
"18","5"
"19","13"
